dataset,tier,model_dir,n_models,metric,stratum,estimate,ci95_low,ci95_high,one_sided95_lower,conditional_finite_ci95_low,conditional_finite_ci95_high,bootstrap_n,bootstrap_undefined,bootstrap_undefined_fraction,interval_status,geometric_shift_pct,geometric_ci95_low_pct,geometric_ci95_high_pct
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,minimax-m3_20260815_030703,1,log,positive,0.1482201464367705,-0.06719304262699674,0.3663999512420741,-0.03351861380543095,-0.06719304262699674,0.3663999512420741,10000,0,0.0,supported,15.976818709513916,-6.498531377752771,44.25320697885062
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,minimax-m3_20260815_030703,1,log,negative,0.6877729880901917,,,,0.05379013619806727,1.3217558399823162,10000,1387,0.1387,withheld_undefined_support,98.92804453355907,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,minimax-m3_20260815_030703,1,binary,all,0.1656267725467953,-0.04426302498670917,0.37223429212566284,-0.0105210704402423,-0.04426302498670917,0.37223429212566284,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,minimax-m3_20260815_030703,1,binary,known_label,0.1656267725467953,-0.04426302498670917,0.37223429212566284,-0.0105210704402423,-0.04426302498670917,0.37223429212566284,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,minimax-m3_20260815_030703,1,binary,positive,0.12326961107448908,-0.09662428876244661,0.3395817984411957,-0.06015643948581129,-0.09662428876244661,0.3395817984411957,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,minimax-m3_20260815_030703,1,binary,negative,0.5,,,,0.0,1.0,10000,1387,0.1387,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3.5-122b-a10b_20260815_030702,1,log,all,0.1609164280199984,-0.006242325207595108,0.3390124125642616,0.01811639890868797,-0.006242325207595108,0.3390124125642616,10000,0,0.0,supported,17.458680216719735,-0.622288237279862,40.356076689281615
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3.5-122b-a10b_20260815_030702,1,log,known_label,0.1609164280199984,-0.006242325207595108,0.3390124125642616,0.01811639890868797,-0.006242325207595108,0.3390124125642616,10000,0,0.0,supported,17.458680216719735,-0.622288237279862,40.356076689281615
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3.5-122b-a10b_20260815_030702,1,log,positive,0.1609164280199984,-0.006242325207595108,0.3390124125642616,0.01811639890868797,-0.006242325207595108,0.3390124125642616,10000,0,0.0,supported,17.458680216719735,-0.622288237279862,40.356076689281615
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3.5-122b-a10b_20260815_030702,1,log,negative,,,,,,,10000,10000,1.0,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3.5-122b-a10b_20260815_030702,1,binary,all,0.4924645390070922,0.3226950354609929,0.660904255319149,0.34441489361702127,0.3226950354609929,0.660904255319149,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3.5-122b-a10b_20260815_030702,1,binary,known_label,0.4924645390070922,0.3226950354609929,0.660904255319149,0.34441489361702127,0.3226950354609929,0.660904255319149,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3.5-122b-a10b_20260815_030702,1,binary,positive,0.4924645390070922,0.3226950354609929,0.660904255319149,0.34441489361702127,0.3226950354609929,0.660904255319149,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3.5-122b-a10b_20260815_030702,1,binary,negative,,,,,,,10000,10000,1.0,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3p8-2p4t-a95b_20260815_030703,1,log,all,0.10677237839624709,0.019547915733810147,0.19581362427150423,0.03407881650174147,0.019547915733810147,0.19581362427150423,10000,0,0.0,supported,11.26809554287112,1.9740227291343744,21.630019537337315
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,qwen3p8-2p4t-a95b_20260815_030703,1,log,known_label,0.0918450074265742,0.0026806220965211133,0.18340972571434067,0.016399163394561534,0.0026806220965211133,0.18340972571434067,10000,0,0.0,supported,9.619490684376924,0.2684218176459154,20.130651342919563
